"","...1","LEAID","NAME_LEA21","ZCTA5CE20","COUNT","LANDAREA"
"1",26,601950,"Alisal Union Elementary School District",93905,5,6.71720564
"2",55,600031,"Big Sur Unified School District",93920,2,111.3178903
"3",2,605730,"Bradley Union Elementary School District",93426,4,70.90171653
"4",56,607530,"Carmel Unified School District",93920,9,44.94595651
"5",59,607530,"Carmel Unified School District",93921,9,0.951993986
"6",60,607530,"Carmel Unified School District",93923,9,198.167922
"7",63,607530,"Carmel Unified School District",93924,9,162.0672339
"8",110,607530,"Carmel Unified School District",93953,9,3.214423001
"9",74,600046,"Gonzales Unified School District",93926,5,58.06100723
"10",35,615870,"Graves Elementary School District",93907,2,5.824584129
"11",80,616080,"Greenfield Union Elementary School District",93927,5,170.1517914
"12",90,619680,"King City Union Elementary School District",93930,5,165.9380518
"13",36,620490,"Lagunita Elementary School District",93907,3,9.350698922
"14",123,625110,"Mission Union Elementary School District",93960,2,32.95404342
"15",98,625530,"Monterey Peninsula Unified School District",93933,8,9.837186504
"16",103,625530,"Monterey Peninsula Unified School District",93940,8,15.74031038
"17",106,625530,"Monterey Peninsula Unified School District",93943,8,0.203048431
"18",107,625530,"Monterey Peninsula Unified School District",93944,8,0.325582976
"19",117,625530,"Monterey Peninsula Unified School District",93955,8,26.30348635
"20",37,627590,"North Monterey County Unified School District",93907,6,26.68231436
"21",129,627590,"North Monterey County Unified School District",95012,6,12.9138579
"22",130,627590,"North Monterey County Unified School District",95039,6,12.18326533
"23",109,629370,"Pacific Grove Unified School District",93950,3,2.807902971
"24",112,629370,"Pacific Grove Unified School District",93953,3,2.465502543
"25",23,633930,"Salinas City Elementary School District",93901,5,5.901194523
"26",32,633930,"Salinas City Elementary School District",93906,5,3.544623373
"27",95,634050,"San Antonio Union Elementary School District",93932,6,38.37220404
"28",10,634080,"San Ardo Union Elementary School District",93450,8,131.3210972
"29",116,634770,"San Lucas Union Elementary School District",93954,5,49.8525692
"30",34,635790,"Santa Rita Union Elementary School District",93906,3,7.791862742
"31",40,635790,"Santa Rita Union Elementary School District",93907,3,10.84256298
"32",124,637050,"Soledad Unified School District",93960,3,101.8419178
"33",126,637710,"Spreckels Union Elementary School District",93962,6,0.122153848
"34",54,641610,"Washington Union Elementary School District",93908,3,35.71778634
"35",NA,NA,"Chualar Union School District",93925,NA,NA
